Keywrd Phrase Txt,N,SumSearches,ReSearchPercent,SearchBounceRate
cell phone cases,6,79,0.26582278481012656,0.1518987341772152
navy rugs,41,829,0.2014475271411339,0.1218335343787696
black and white comforter set,6,115,0.11304347826086956,0.043478260869565216
flat irons,17,293,0.17406143344709898,0.11262798634812286
sewing,8,186,0.06989247311827956,0.026881720430107527
grey shag rugs,17,488,0.17827868852459017,0.07172131147540983
melamine dinnerware,71,1996,0.1492985971943888,0.10470941883767534
duvet insert,43,1032,0.10368217054263566,0.06492248062015504
18x18 white throw pillows,1,72,0.013888888888888888,0
insinkerator,3,55,0.12727272727272726,0
portable closets,12,191,0.31413612565445026,0.1256544502617801
wine rack tables,3,63,0.20634920634920634,0.06349206349206349
christopher knight outdoor furniture,7,103,0.2524271844660194,0.10679611650485436
wood dining chairs,16,287,0.14982578397212543,0.059233449477351915
2 x 3 rug,5,82,0.08536585365853659,0
driftwood,38,833,0.17767106842737096,0.15606242496998798
bathroom scales,7,138,0.09420289855072464,0.06521739130434782
extendable dining table,44,960,0.16458333333333333,0.08958333333333333
tension rod,13,282,0.15602836879432624,0.028368794326241134
desktop computer,50,1151,0.1685490877497828,0.10165073848827107
wing back chair slip covers,5,189,0.05291005291005291,0.037037037037037035
green throw pillows,4,80,0.1375,0.0625
silver decorative pillow,1,136,0.07352941176470588,0
stand mixer,5,67,0.16417910447761194,0.11940298507462686
designart,3,102,0.10784313725490197,0.00980392156862745
queen futon mattress,5,87,0.14942528735632185,0.10344827586206896
bare minerals,9,201,0.12935323383084577,0.05472636815920398
table clocks,14,297,0.16498316498316498,0.037037037037037035
breakfast bar chairs,3,66,0.06060606060606061,0.045454545454545456
cal king bedding,25,750,0.23866666666666667,0.052
lamps &amp lighting,4,61,0.16393442622950818,0.06557377049180328
behr premium plus 540005,27,740,0.4135135135135135,0.3621621621621622
christmas dies,1,100,0.02,0
kitchen pantry,72,2656,0.1743222891566265,0.1460843373493976
grill cover,27,496,0.14919354838709678,0.05846774193548387
mens shoes,22,424,0.09669811320754718,0.04481132075471698
wrap dress,6,111,0.23423423423423423,0.09009009009009009
FEATHER,3,57,0.21052631578947367,0.017543859649122806
patio chaise lounge,3,69,0.15942028985507245,0.028985507246376812
spindle chair,4,60,0.23333333333333334,0.08333333333333333
counter kitchen stools blue,1,60,0.06666666666666667,0
toiletry bags,5,94,0.18085106382978725,0.010638297872340425
behr premium plus ultra 275301,26,1016,0.45177165354330706,0.33070866141732286
tv stand with fireplace,13,235,0.2680851063829787,0.06382978723404255
plant shelves,5,68,0.1323529411764706,0.35294117647058826
underbed storage,11,163,0.2085889570552147,0.15950920245398773
8 X 10 Outdoor rug,3,53,0.05660377358490566,0.11320754716981132
pillows outdoor,2,103,0.8543689320388349,0.009708737864077669
cube,5,73,0.3287671232876712,0.1506849315068493
fire pit dining table set,2,52,0.6538461538461539,0.07692307692307693
black patio furniture,4,82,0.13414634146341464,0.06097560975609756
side table with drawers,20,349,0.14613180515759314,0.10028653295128939
55 x 18 bench cushion,1,80,0.0125,0
pink rugs,41,1001,0.16283716283716285,0.06993006993006994
moissanite rings,57,2438,0.13002461033634127,0.07834290401968827
juniper home rug,1,54,0.24074074074074073,0.05555555555555555
Coastal bedding sets,3,66,0.3181818181818182,0.030303030303030304
outdoor serving cart,4,66,0.24242424242424243,0.09090909090909091
cushions,89,5448,0.19823788546255505,0.16868575624082233
wire baskets,2,59,0.2033898305084746,0.05084745762711865
small entry table,3,59,0.23728813559322035,0.06779661016949153
bakhtiari wool 3 foot by 5 foot rug,1,108,0.7314814814814815,0
velvet comforter,3,51,0.3333333333333333,0.0784313725490196
jimmy choo,6,92,0.13043478260869565,0.043478260869565216
twin beds,75,2569,0.15998442973919813,0.15103152977812379
small sofa,29,564,0.26595744680851063,0.13297872340425532
white outdoor bench,6,85,0.2,0.07058823529411765
plate sets,14,281,0.17793594306049823,0.03914590747330961
settee bench,14,274,0.19343065693430658,0.05474452554744526
dior,11,186,0.17204301075268819,0.10215053763440861
shag rug,77,6690,0.15216741405082213,0.06098654708520179
split king sheets,45,1104,0.13949275362318841,0.05434782608695652
white purse,1,157,0.006369426751592357,0
mudroom storage,5,71,0.16901408450704225,0.14084507042253522
600 Thread Count sheets,4,68,0.22058823529411764,0.029411764705882353
ottoman,90,16890,0.1452930728241563,0.09182948490230906
metal queen bed,8,170,0.15294117647058825,0.041176470588235294
crayons,6,147,0.061224489795918366,0
men dress shoes,6,100,0.3,0.04
kids bedding sets,3,54,0.2037037037037037,0.018518518518518517
nest,11,173,0.1676300578034682,0.2774566473988439
playground equipment,5,78,0.48717948717948717,0.05128205128205128
sunbrella outdoor cushions,8,114,0.17543859649122806,0.08771929824561403
geometric pattern rug,9,167,0.3592814371257485,0.029940119760479042
room decor,6,117,0.4358974358974359,0.1623931623931624
Wall bed,18,305,0.17049180327868851,0.14098360655737704
cuff bracelet,10,205,0.12682926829268293,0.02926829268292683
embroidered pillows,4,56,0.32142857142857145,0.05357142857142857
mosaic tile,37,796,0.2236180904522613,0.08165829145728644
car seats,5,70,0.1,0.02857142857142857
purple shag rug,6,145,0.2,0.013793103448275862
tory burch shoes,14,227,0.34801762114537443,0.1762114537444934
diophy bags,26,457,0.12035010940919037,0.1050328227571116
tissot,27,466,0.19742489270386265,0.11587982832618025
sex,4,58,0.29310344827586204,0.1206896551724138
cape coral,53,1845,0.1008130081300813,0.046612466124661245
LEATHER SECTIONALS,82,5411,0.15893550175568286,0.09000184808722972
aquamarine jewelry,9,151,0.2781456953642384,0.07947019867549669
name necklace,8,115,0.45217391304347826,0.06956521739130435
white leather ottoman,13,180,0.24444444444444444,0.1388888888888889
mom,4,67,0.29850746268656714,0.1044776119402985
square coffee table with storage,5,80,0.2125,0.0625
terrarium,23,354,0.211864406779661,0.3050847457627119
power reclining sofa,5,86,0.27906976744186046,0.046511627906976744
queen bedroom sets on sale,5,84,0.2976190476190476,0.07142857142857142
primigi shoe,1,72,0.041666666666666664,0
girls bed,6,95,0.18947368421052632,0.042105263157894736
cameras,30,510,0.21764705882352942,0.10196078431372549
crafters companion,2,83,0.04819277108433735,0
linen tower,43,933,0.15112540192926044,0.13183279742765272
garden stool,90,7775,0.14572347266881028,0.09337620578778134
tote bag,29,636,0.18238993710691823,0.0660377358490566
bamboo roman shade,6,108,0.12037037037037036,0.027777777777777776
outdoor chandelier,31,660,0.17727272727272728,0.11818181818181818
kids bookshelf,24,521,0.14587332053742802,0.10748560460652591
bar stool sets,11,225,0.21333333333333335,0.05333333333333334
mirrored nightstand,33,688,0.16715116279069767,0.06395348837209303
recliner sofa,40,757,0.15323645970937913,0.0977542932628798
Dog Kennel,20,358,0.12569832402234637,0.11452513966480447
12 inch memory foam mattress,4,65,0.4,0.06153846153846154
farmhouse bench,10,175,0.21714285714285714,0.08
island light,16,280,0.18928571428571428,0.06428571428571428
kitchen towels,56,1932,0.12681159420289856,0.052795031055900624
moonstone ring,11,167,0.23353293413173654,0.10778443113772455
antique furniture,4,61,0.3770491803278688,0.09836065573770492
2x4 rug,3,55,0.3090909090909091,0
gas firepit,33,660,0.15303030303030302,0.14545454545454545
badgsley pumps,1,105,0.01904761904761905,0
Atlanta Braves,2,64,0.046875,0
scrapbook adhesives by 3l 01252 e-z runner grand refill - repo dots,1,210,0.004761904761904762,0
diamond earrings,36,855,0.08771929824561403,0.07953216374269007
outdoor dinning sets,13,306,0.1437908496732026,0.09803921568627451
counter height table sets,20,371,0.16172506738544473,0.07277628032345014
king size comforter,25,513,0.1871345029239766,0.0682261208576998
womens skechers,46,1170,0.18376068376068377,0.05213675213675214
white and chrome coffe and end table set,1,58,0.017241379310344827,0
rain coat,9,118,0.2966101694915254,0.11864406779661017
grill,79,5186,0.2221365214037794,0.16409564211338218
red sandals,4,74,0.2702702702702703,0.0945945945945946
grey area rug,20,362,0.20441988950276244,0.04143646408839779
KITCHEN LIGHTING,68,1751,0.20788121073672186,0.10279840091376356
outdoor shelter,4,165,0.04242424242424243,0.2727272727272727
ninja blender,14,219,0.1278538812785388,0.1278538812785388
8 inch bracelet,1,114,0.02631578947368421,0
golf drivers,4,81,0.1111111111111111,0.08641975308641975
10x12 rug,7,119,0.24369747899159663,0.04201680672268908
single bed,6,75,0.18666666666666668,0.10666666666666667
chairs,90,28837,0.190137670354059,0.24718243922738148
solid rugs,4,52,0.2692307692307692,0.057692307692307696
cornhole set,5,102,0.06862745098039216,0.17647058823529413
mules,2,69,0.17391304347826086,0.014492753623188406
mid century modern nightstand,4,79,0.17721518987341772,0.02531645569620253
madison park comforter sets,36,764,0.15575916230366493,0.04712041884816754
double recliner,13,208,0.23557692307692307,0.2932692307692308
occasional chair,13,190,0.17894736842105263,0.12105263157894737
bed skirt king,4,90,0.3333333333333333,0.05555555555555555
beige area rug,20,484,0.18388429752066116,0.04338842975206612
mat,7,100,0.28,0.07
nike presto,4,51,0.21568627450980393,0.09803921568627451
dining light,4,117,0.05128205128205128,0.017094017094017096
tempurpedic,16,295,0.13559322033898305,0.07457627118644068
garden statues,24,554,0.18231046931407943,0.05956678700361011
stand up paddle boards,15,290,0.11379310344827587,0.16896551724137931
rayban clubmaster,18,300,0.23,0.4033333333333333
women nike shoes,3,78,0.07692307692307693,0.038461538461538464
lights for bathroom,1,66,0.22727272727272727,0
coastal wall decor,5,93,0.15053763440860216,0.021505376344086023
dinning room chairs,14,215,0.12558139534883722,0.04186046511627907
angel necklace,3,57,0.12280701754385964,0.017543859649122806
artificial silk plants,6,100,0.33,0.22
Barbeque,7,116,0.25,0.16379310344827586
micheal kors handbags,9,157,0.21019108280254778,0.08280254777070063
Gazebos &amp Pergolas,18,385,0.14025974025974025,0.1012987012987013
lift top table,33,679,0.17525773195876287,0.13549337260677466
swing sets,85,7614,0.10927239296033622,0.1333070659311794
black and white photography,2,51,0.49019607843137253,0
swivel accent chair,11,179,0.17318435754189945,0.0893854748603352
full length mirror,75,4196,0.1394184938036225,0.20066730219256435
bed spreads and comforters,2,76,0.6973684210526315,0.013157894736842105
stair rugs,7,120,0.25833333333333336,0.03333333333333333
backsplash tiles,4,74,0.32432432432432434,0.02702702702702703
poster,3,56,0.21428571428571427,0.017857142857142856
outdoor jute rug,4,58,0.2413793103448276,0.017241379310344827
wristlet,8,123,0.16260162601626016,0.07317073170731707
samsung galaxy s8 case,3,72,0.18055555555555555,0.013888888888888888
disney backpack,1,52,0.057692307692307696,0
7x7 square rug,2,56,0.4107142857142857,0.03571428571428571
garden stools,53,1363,0.16434336023477622,0.09097578870139399
broyhill outdoor furniture,4,51,0.19607843137254902,0.35294117647058826
window shutters,8,114,0.34210526315789475,0.10526315789473684
boho rugs,9,155,0.18064516129032257,0.012903225806451613
stampendous stamp dies,1,70,0.014285714285714285,0
fly fishing art,1,205,0.004878048780487805,0
mid century modern loveseat,4,61,0.3114754098360656,0.08196721311475409
handy living,10,133,0.12781954887218044,0.007518796992481203
ceiling lights clearance,3,64,0.1875,0.046875
makeup brushes,36,738,0.17479674796747968,0.08265582655826559
media stand,39,771,0.19714656290531776,0.0946822308690013
orange art,1,63,0.015873015873015872,0
nonslip rug pads,4,55,0.3090909090909091,0
twin mattress pad,5,79,0.10126582278481013,0.0379746835443038
bathroom bench,5,83,0.3614457831325301,0.04819277108433735
south shore,26,396,0.18181818181818182,0.07575757575757576
duvet set,14,292,0.11301369863013698,0.05136986301369863
behr premium plus ultra 375301,25,1004,0.42828685258964144,0.3256972111553785
bath products,2,66,0.030303030303030304,0.015151515151515152
light weight quilts,2,59,0.288135593220339,0
curved metal cafe dining chairs set of two,6,114,0.7105263157894737,0
plate chargers,6,93,0.1935483870967742,0.08602150537634409
drawers,50,1150,0.23565217391304347,0.09217391304347826
canoe,14,203,0.15763546798029557,0.24630541871921183
vionic sandals,7,97,0.27835051546391754,0.1134020618556701
4x6 area rugs,6,131,0.1450381679389313,0.030534351145038167
dinning room lighting,4,90,0.1,0
fabric dining chairs,15,306,0.12091503267973856,0.02287581699346405
cooling pillow,5,113,0.09734513274336283,0.04424778761061947
satin pillowcases,5,72,0.1388888888888889,0.027777777777777776
madison bohemian,10,196,0.16326530612244897,0.04591836734693878
sofa table with storage,17,363,0.17355371900826447,0.0743801652892562
hide a bed,7,91,0.4065934065934066,0.10989010989010989
king canopy bed,24,439,0.11617312072892938,0.09567198177676538
scrapbooking supplies,2,127,0.07874015748031496,0.015748031496062992
betsey johnson,26,439,0.23462414578587698,0.16856492027334852
costway,39,786,0.2480916030534351,0.03816793893129771
london fog,32,613,0.2463295269168026,0.09787928221859707
ceramic storage canisters with airtight bamboo lids navy/white set of 3,1,150,0.006666666666666667,0
bronze table lamps,3,52,0.19230769230769232,0
faux fur bench,2,51,0.21568627450980393,0.0196078431372549
sign out,5,67,0.22388059701492538,0.07462686567164178
chenille bedspread,16,266,0.20676691729323307,0.07894736842105263
woman leggings,1,58,0.017241379310344827,0
gel memory foam mattress,18,421,0.171021377672209,0.040380047505938245
daybed cover,66,1752,0.1678082191780822,0.08561643835616438
blue velvet chairs,5,158,0.25316455696202533,0.03164556962025317
eileen fisher,8,120,0.2,0.08333333333333333
trisha yearwood home collection,2,60,0.03333333333333333,0.06666666666666667
buffet servers,27,462,0.22510822510822512,0.09740259740259741
daybed covers,20,327,0.20489296636085627,0.05198776758409786
indoor water fountain,5,71,0.23943661971830985,0.08450704225352113
zero gravity recliners,36,701,0.17261055634807418,0.20256776034236804
twin metal bed,6,110,0.21818181818181817,0.03636363636363636
outdoor patio accent pillows,1,95,0.2736842105263158,0
jumpsuit,21,483,0.19875776397515527,0.062111801242236024
stained glass lamp,4,72,0.375,0.013888888888888888
cantilever patio umbrella,2,64,0.09375,0.03125
glass top desk,4,61,0.16393442622950818,0.01639344262295082
coupon,35,1026,0.0594541910331384,0.06042884990253411
cotton blanket,36,961,0.11446409989594172,0.04162330905306972
ring doorbell,11,174,0.27011494252873564,0.13793103448275862
pendleton,48,1044,0.16187739463601533,0.1475095785440613
plus size formal dress,24,511,0.19960861056751467,0.0821917808219178
kids picnic table,18,258,0.1821705426356589,0.19767441860465115
twin XL fitted sheet,13,274,0.18248175182481752,0.06934306569343066
26 inch bar stools,5,74,0.22972972972972974,0.02702702702702703
wooden hangers,3,57,0.15789473684210525,0.03508771929824561
blanket ladder,39,818,0.1430317848410758,0.21271393643031786
echelon,1,56,0.17857142857142858,0
diamond rug,15,255,0.20784313725490197,0.03529411764705882
y necklace,5,112,0.10714285714285714,0.017857142857142856
large round mirror,9,127,0.2283464566929134,0.07086614173228346
plastic glasses,3,64,0.1875,0.0625
strivectin,11,243,0.14814814814814814,0.06995884773662552
leather hand bags,2,99,0.06060606060606061,0
outdoor set,9,137,0.17518248175182483,0.051094890510948905
broom,3,118,0.1271186440677966,0.01694915254237288
area rug,66,4077,0.054942359578121165,0.03630120186411577
paint acrylic,1,56,0.017857142857142856,0
kitchen rack,2,64,0.28125,0.015625
acrylic coffee table,28,656,0.17835365853658536,0.06554878048780488
bike pump,2,63,0.07936507936507936,0
drawer,33,635,0.2173228346456693,0.15118110236220472
promise ring,6,134,0.09701492537313433,0.08955223880597014
wool area rug,6,123,0.14634146341463414,0.056910569105691054
octagon rug,4,77,0.2987012987012987,0.06493506493506493
sunbrella sectional,3,55,0.14545454545454545,0.05454545454545454
oversized mirrors,1,107,0.018691588785046728,0
car seat covers,59,1928,0.18931535269709543,0.08765560165975103
fur throw,4,95,0.08421052631578947,0.021052631578947368
nail polish,12,208,0.20192307692307693,0.057692307692307696
nicole miller bedding,5,82,0.2926829268292683,0.17073170731707318
serta perfect sleeper,9,151,0.23841059602649006,0.06622516556291391
workout equipment,4,52,0.2692307692307692,0.09615384615384616
entertainment centers,67,4146,0.08393632416787265,0.0612638687891944
folding bookcase,4,51,0.21568627450980393,0.2549019607843137
paris,34,601,0.28286189683860236,0.08652246256239601
beach wagon,4,75,0.30666666666666664,0.12
sequin pillow,5,101,0.2079207920792079,0
faux silk drapes,4,62,0.14516129032258066,0
double curtain rods,5,80,0.1125,0.0625
hotel bedding,7,151,0.271523178807947,0.059602649006622516
wall hooks,45,1081,0.15448658649398705,0.07585568917668825
l shape couch,13,268,0.19776119402985073,0.13805970149253732
bar stools with seat height 33 or greater,11,207,0.20772946859903382,0.057971014492753624
mixing bowls,12,183,0.2459016393442623,0.03278688524590164
vans women,4,70,0.3142857142857143,0.17142857142857143
sleep sofa,17,303,0.24752475247524752,0.056105610561056105
white sideboard,8,135,0.14814814814814814,0.14814814814814814
jewlery armoire,10,160,0.125,0.04375
cotton curtains,6,102,0.11764705882352941,0.0196078431372549
4x6 rug,28,645,0.15038759689922482,0.04961240310077519
toilet paper holder,70,2633,0.17052791492594,0.08203570072161033
turquoise earrings,15,318,0.20125786163522014,0.031446540880503145
extra wide curtain panel,4,62,0.0967741935483871,0.016129032258064516
NAUTICAL ART,5,78,0.16666666666666666,0.0641025641025641
womens slippers,21,416,0.15865384615384615,0.040865384615384616
inflateable bouncers,7,166,0.1686746987951807,0.09036144578313253
pillow top mattress pad,4,77,0.14285714285714285,0.09090909090909091
plastic rug,10,156,0.14102564102564102,0.0641025641025641
bath sheets,27,579,0.12435233160621761,0.05872193436960276
dove body wash,1,78,0.0641025641025641,0
twin size mattress,17,297,0.16161616161616163,0.11447811447811448
beads,34,1927,0.09237156201349248,0.040477426050856254
twin xl sheets cotton,1,57,0.05263157894736842,0
ruggable 8x10,7,156,0.07692307692307693,0.057692307692307696
plastic plates,5,168,0.10119047619047619,0.047619047619047616
isabella lounge chair,1,84,0.047619047619047616,0
easel,8,134,0.23134328358208955,0.05223880597014925
wicker outdoor furniture,57,1168,0.17294520547945205,0.12585616438356165
trunks,24,422,0.2014218009478673,0.09004739336492891
outdoor loveseat cushion,9,134,0.14925373134328357,0.1044776119402985
large sofa pillows,1,54,0.018518518518518517,0
cuckoo,4,81,0.2222222222222222,0.13580246913580246
mirrored dresser,50,1013,0.20533070088845015,0.17670286278381048
mirrored night stand,5,91,0.13186813186813187,0.04395604395604396
gray patio set,1,68,0.10294117647058823,0
white duvet,21,575,0.13043478260869565,0.05391304347826087
jewelry boxes,23,493,0.08924949290060852,0.038539553752535496
women's polarized sunglasses,6,116,0.12931034482758622,0.034482758620689655
teal,55,1177,0.3500424808836024,0.08156329651656755
gray grey curtains,1,56,0.05357142857142857,0
pots and pans,53,1690,0.20355029585798817,0.1165680473372781
distressed area rug,7,160,0.18125,0.01875
vinyl plank flooring,12,170,0.1411764705882353,0.16470588235294117
